timestamp,message,seq_num,resource,event
9278.171619613,mom,85,cashier,resource.serve
9475.197847583,mom,86,cashier,pipe.in
9475.197847583,mom,86,cashier,pipe.out
9571.763959797,mom,86,cashier,resource.serve
9709.030714520,mom,87,cashier,pipe.in
9709.030714520,mom,87,cashier,pipe.out
9891.236128851,mom,87,cashier,resource.serve
9973.836124723,mom,88,cashier,pipe.in
9973.836124723,mom,88,cashier,pipe.out
9996.401444571,mom,88,cashier,resource.serve
10006.939900957,mom,89,cashier,pipe.in
10006.939900957,mom,89,cashier,pipe.out
10075.145934531,mom,89,cashier,resource.serve
10093.863883464,mom,90,cashier,pipe.in
10093.863883464,mom,90,cashier,pipe.out
10179.900173939,mom,90,cashier,resource.serve
10750.663092035,mom,91,cashier,pipe.in
10750.663092035,mom,91,cashier,pipe.out
10806.703935604,mom,91,cashier,resource.serve
11076.849539938,mom,92,cashier,pipe.in
11076.849539938,mom,92,cashier,pipe.out
11161.280562569,mom,92,cashier,resource.serve
12393.025009353,single,5,cashier,pipe.in
12393.025009353,single,5,cashier,pipe.out
12404.516321082,single,6,cashier,pipe.in
12412.670422354,single,7,cashier,pipe.in
12413.923264500,single,5,cashier,resource.serve
12413.923264500,single,6,cashier,pipe.out
12418.184048281,single,8,cashier,pipe.in
12451.516600751,single,6,cashier,resource.serve
12451.516600751,single,7,cashier,pipe.out
12462.030782168,single,7,cashier,resource.serve
12462.030782168,single,8,cashier,pipe.out
12469.906255137,single,9,cashier,pipe.in
12477.339447816,single,8,cashier,resource.serve
12477.339447816,single,9,cashier,pipe.out
12494.737494605,single,9,cashier,resource.serve
12508.139571170,single,10,cashier,pipe.in
12508.139571170,single,10,cashier,pipe.out
12519.556069914,single,10,cashier,resource.serve
12612.451316022,single,11,cashier,pipe.in
12612.451316022,single,11,cashier,pipe.out
12659.089865518,single,12,cashier,pipe.in
12666.890942584,single,11,cashier,resource.serve
12666.890942584,single,12,cashier,pipe.out
12669.572701252,single,13,cashier,pipe.in
12682.120468327,single,14,cashier,pipe.in
12687.383390735,single,15,cashier,pipe.in
12711.142348981,single,16,cashier,pipe.in
12723.514801372,single,17,cashier,pipe.in
12758.544697218,single,12,cashier,resource.serve
12758.544697218,single,13,cashier,pipe.out
12777.916199237,single,13,cashier,resource.serve
12777.916199237,single,14,cashier,pipe.out
12790.626074713,single,18,cashier,pipe.in
12795.218728050,single,14,cashier,resource.serve
12795.218728050,single,15,cashier,pipe.out
12806.418462308,single,19,cashier,pipe.in
12815.665814561,single,20,cashier,pipe.in
12826.254868390,single,21,cashier,pipe.in
12827.782157105,single,22,cashier,pipe.in
12851.714905321,single,23,cashier,pipe.in
12856.717445096,single,24,cashier,pipe.in
12856.832131197,single,25,cashier,pipe.in
12867.299689221,single,26,cashier,pipe.in
12874.772441913,single,15,cashier,resource.serve
12874.772441913,single,16,cashier,pipe.out
12881.932661413,single,16,cashier,resource.serve
12881.932661413,single,17,cashier,pipe.out
12886.936435235,single,27,cashier,pipe.in
12927.065420153,single,17,cashier,resource.serve
12927.065420153,single,18,cashier,pipe.out
12934.960262522,single,18,cashier,resource.serve
12934.960262522,single,19,cashier,pipe.out
12942.629037445,single,28,cashier,pipe.in
12968.179732959,single,19,cashier,resource.serve
12968.179732959,single,20,cashier,pipe.out
12997.063687550,single,29,cashier,pipe.in
13004.186764525,single,20,cashier,resource.serve
13004.186764525,single,21,cashier,pipe.out
13013.096068940,single,30,cashier,pipe.in
13014.755880702,single,21,cashier,resource.serve
13014.755880702,single,22,cashier,pipe.out
13016.615377756,mom,93,cashier,pipe.in
13038.889581447,single,22,cashier,resource.serve
13038.889581447,single,23,cashier,pipe.out
13067.326594735,single,23,cashier,resource.serve
13067.326594735,single,24,cashier,pipe.out
13068.223355148,single,31,cashier,pipe.in
13073.008975211,single,32,cashier,pipe.in
13078.703102706,single,33,cashier,pipe.in
13087.346834131,single,24,cashier,resource.serve
13087.346834131,single,25,cashier,pipe.out
13128.282974130,single,34,cashier,pipe.in
13135.049340141,single,35,cashier,pipe.in
13188.941910746,single,36,cashier,pipe.in
13200.500735239,single,37,cashier,pipe.in
13203.232218876,single,38,cashier,pipe.in
13218.425027955,single,39,cashier,pipe.in
13221.841551942,single,25,cashier,resource.serve
13221.841551942,single,26,cashier,pipe.out
13276.693607619,single,40,cashier,pipe.in
13278.151489838,single,26,cashier,resource.serve
13278.151489838,single,27,cashier,pipe.out
13292.749329256,single,41,cashier,pipe.in
13338.111138615,single,42,cashier,pipe.in
13366.380680449,single,27,cashier,resource.serve
13366.380680449,single,28,cashier,pipe.out
13384.030520724,single,28,cashier,resource.serve
13384.030520724,single,29,cashier,pipe.out
13398.740718393,single,43,cashier,pipe.in
13399.927356473,single,44,cashier,pipe.in
13419.435173847,single,29,cashier,resource.serve
13419.435173847,single,30,cashier,pipe.out
13435.112605307,single,45,cashier,pipe.in
13438.879449459,single,30,cashier,resource.serve
13438.879449459,mom,93,cashier,pipe.out
13503.312530027,single,46,cashier,pipe.in
13511.922609580,single,47,cashier,pipe.in
13513.479075139,single,48,cashier,pipe.in
13550.065269986,single,49,cashier,pipe.in
13551.607904224,mom,93,cashier,resource.serve
